CreditScore,Gender,Age,Tenure,IsActiveMember,Exited
715,Male,35,2,1,0
737,Male,41,1,1,0
752,Female,37,5,1,0
529,Male,30,2,0,0
649,Female,36,2,1,0
693,Female,34,10,0,0
568,Female,31,1,1,0
582,Male,29,4,0,0
850,Female,27,7,1,0
432,Female,27,6,0,0
754,Female,47,1,0,0
710,Female,31,3,1,0
577,Female,32,1,0,0
600,Male,43,8,0,1
615,Male,42,4,1,0
563,Male,26,7,0,0
692,Male,46,2,1,0
850,Male,43,0,0,1
367,Male,42,6,0,1
499,Female,28,4,1,0
588,Female,22,9,1,1
790,Male,46,2,1,0
806,Female,59,0,0,0
431,Male,63,6,1,0
579,Male,49,4,1,0
521,Female,49,2,1,0
741,Female,42,9,0,0
597,Male,61,5,1,0
512,Male,40,5,1,0
733,Male,34,3,0,1
750,Female,52,6,0,1
513,Female,41,9,1,0
706,Male,36,9,0,0
610,Male,42,6,0,1
506,Male,50,3,0,0
611,Male,46,6,0,0
635,Female,27,8,1,1
727,Male,47,7,0,0
501,Male,35,6,1,0
782,Female,72,5,0,1
774,Female,41,5,0,0
651,Female,25,2,0,0
808,Female,33,2,0,0
489,Female,47,8,1,0
510,Male,63,8,1,0
777,Male,36,7,0,0
692,Female,34,4,1,0
826,Female,30,5,1,0
733,Female,33,7,1,0
554,Female,54,6,0,1
755,Male,62,1,1,0
606,Male,33,8,1,0
554,Female,30,9,1,0
586,Female,28,5,0,1
670,Male,36,7,0,0
737,Male,43,8,0,0
464,Female,42,3,1,0
738,Male,58,2,0,1
559,Male,52,2,0,1
692,Male,45,6,0,1
812,Male,38,3,1,0
652,Female,34,6,1,0
817,Male,59,1,1,0
553,Male,43,6,1,0
504,Male,34,0,1,0
590,Female,23,7,0,0
731,Female,37,1,1,0
678,Female,38,2,0,0
718,Female,25,4,0,0
675,Female,29,8,0,0
625,Female,58,10,1,1
850,Male,38,5,0,0
669,Male,25,1,0,1
504,Male,42,7,1,0
477,Female,39,4,0,0
688,Male,35,5,0,1
725,Male,40,8,0,0
620,Female,42,1,1,0
465,Male,41,9,0,0
724,Male,28,5,1,0
730,Male,33,0,0,0
565,Female,47,10,0,1
586,Male,29,2,1,0
707,Female,51,10,0,1
711,Male,41,3,1,0
649,Female,46,2,1,0
