bathrooms,bedrooms,longitude,latitude,price,interest_level
2.0,5,-73.9599,40.7995,6500,low
1.0,0,-73.9765,40.7489,2400,low
1.0,1,-73.9861,40.7721,5595,medium
1.0,2,-74.0136,40.708,3415,low
1.0,2,-73.9507,40.8272,1995,high
1.0,3,-73.9198,40.866,2400,low
2.0,4,-73.9791,40.7369,4900,medium
1.0,2,-73.9779,40.7439,3595,low
1.0,1,-73.9849,40.7197,2090,medium
2.0,3,-73.9872,40.7266,6250,low
2.0,2,-73.977,40.7462,3800,medium
2.0,3,-73.9413,40.7515,4400,low
1.0,3,-73.9993,40.7208,4900,low
1.0,2,-74.0109,40.7035,4300,low
2.0,2,-73.9863,40.7349,7200,low
2.0,4,-73.9572,40.7657,4800,low
1.0,2,-73.9493,40.8266,2100,low
1.0,0,-73.9864,40.73,2825,low
1.0,1,-73.9618,40.7609,2700,low
1.0,2,-73.9489,40.716,2400,low
1.0,3,-74.0044,40.7231,3595,high
1.0,1,-73.9604,40.7599,3200,low
1.0,1,-73.958,40.7832,2295,low
2.0,3,-73.976,40.7936,5450,low
1.0,0,-73.9875,40.7494,2575,low
1.0,0,-73.968,40.7976,2200,medium
1.0,0,-74.0076,40.7047,2795,low
1.0,1,-73.9409,40.818,1695,medium
2.0,3,-73.9892,40.66,3000,medium
1.0,1,-73.9559,40.576,1850,low
1.0,0,-73.935,40.8572,1950,low
1.0,2,-73.9346,40.7953,1850,low
1.0,1,-73.9578,40.8198,1955,low
1.0,2,-74.0107,40.7102,3250,low
1.0,0,-73.9922,40.7556,3250,low
2.0,2,-73.9429,40.6604,2450,medium
1.0,1,-73.9647,40.7742,3795,low
1.0,0,-73.9875,40.7494,2287,high
1.0,1,-73.9522,40.78,2200,high
3.0,3,-73.9528,40.7739,5900,low
1.0,0,-73.9824,40.7817,2400,low
1.0,2,-73.9805,40.74,3100,medium
1.0,0,-74.0151,40.7085,2490,low
1.0,3,-73.9368,40.8503,2950,low
1.0,1,-73.9569,40.7727,2075,low
1.0,0,-73.9836,40.7421,2295,low
1.0,1,-73.9773,40.7463,2900,low
1.0,2,-73.9862,40.7514,3008,high
1.0,0,-74.0059,40.7088,2200,low
1.0,1,-73.9826,40.7186,2650,low
1.0,1,-73.9965,40.7382,4675,low
1.0,2,-74.0023,40.7246,3200,high
1.0,0,-73.9496,40.7793,1695,low
2.0,4,-73.9545,40.8034,5000,low
1.0,2,-73.9824,40.6633,2050,low
1.0,1,-74.0101,40.7067,3535,low
1.0,2,-73.971,40.7887,3300,medium
1.0,1,-73.9328,40.8495,1995,medium
1.0,0,-73.9903,40.7486,3000,medium
1.0,2,-73.9727,40.7436,3325,low
1.0,0,-74.0143,40.71,2575,high
1.0,0,-73.9537,40.7173,3000,low
1.0,1,-73.9486,40.7726,1795,low
1.0,3,-73.9155,40.7046,2750,low
2.0,3,-73.9802,40.7469,5500,low
2.0,2,-74.0046,40.7073,5565,low
